Ticker,Name der Anteilklasse,ISIN,Fondsvermögen,UCITS,Domizil,TER (%),Laufende Gebühren (%),Auflagedatum,Anlageklasse,Unteranlageklasse,Region,Währung der Anteilsklasse,Markt,Strategie,Standort,Anteils- klasse,Anteile im Umlauf,für ISA zugelassen,Produktmethodik,Emittent,Ertrags- verwendung,Referenzindex,NAV,Per,Benchmark-Wert,für SIPP verfügbar,UK-Distributor /Reporting-Status,Risk Indicator,Geldkurs,Per,Briefkurs,Per,AUM (Mio.),UCITS,Anlageansatz,Diskrete Rendite,,,,,,Annualisiert,,,,,,,Kumulativ,,,,,,,Merkmale,,,,,,Kalenderjahr,,,,,,Merkmale,,,,,,,Nachhaltigkeitsmerkmale (MSCI),,,
-,iShares Europe ex-UK Index Fund (IE) Flex Dist EUR,IE00B0407Y83,"119.695.518,78",Ja,Irland,-,"0,02",01.Dec.2005,Aktien,Large/Mid Caps,Europa,EUR,Industrieländer,-,Weitere,Class,"6.807.167,81",-,-,BlackRock Asset Management Ireland Limited,ausschüttend,MSCI Europe ex UK Net Return Index,"17,58",17.Nov.2020,-,-,-,6.00,"17,58",17.Nov.2020,"17,60",17.Nov.2020,"3.443,21",Y,Index Fonds,30.Sep.2020,"2,81","20,35","0,85","7,29","-2,63",31.Oct.2020,"-8,59","2,39","-0,68","2,69","6,30","5,76",31.Oct.2020,"-12,42","4,13","-2,02","14,22","84,21","143,77","3,60","0,00",-,"0,00",-,-,"11,10","3,26","12,26","-10,27","27,85",31.Dec.2019,iShares Europe ex-UK Index Fund (IE) Flex Dist EUR,"15,46","1,66","0,00","0,00","0,00","65.944,84",AA,"7,96","145,53",-
-,iShares Europe ex-UK Index Fund (IE) Inst Dist EUR,IE00B1W56Q79,"558.609.283,46",Ja,Irland,-,"0,18",13.May.2009,Aktien,Large/Mid Caps,Europa,EUR,Industrieländer,-,Weitere,Inst,"27.092.667,01",-,-,BlackRock Asset Management Ireland Limited,ausschüttend,MSCI Europe ex UK Net Return Index,"20,62",17.Nov.2020,-,-,-,6.00,"20,61",17.Nov.2020,"20,64",17.Nov.2020,"3.443,21",Y,Index Fonds,30.Sep.2020,"2,61","20,16","0,69","7,13","-2,78",31.Oct.2020,"-8,74","2,24","-0,83","2,53","6,09","8,02",31.Oct.2020,"-12,54","4,05","-2,47","13,30","80,66","142,26","3,60","0,00",-,"0,00",-,-,"10,87","3,08","12,09","-10,41","27,65",31.Dec.2019,iShares Europe ex-UK Index Fund (IE) Inst Dist EUR,"15,46","1,66","0,00","0,00","0,00","65.944,84",AA,"7,96","145,53",-
-,iShares Europe ex-UK Index Fund (IE) Flex Acc EUR,IE0001197916,"1.242.606.376,73",Ja,Irland,-,"0,02",01.Dec.2005,Aktien,Large/Mid Caps,Europa,EUR,Industrieländer,-,Weitere,Class,"40.643.787,32",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,MSCI Europe ex UK Net Return Index,"30,57",17.Nov.2020,-,-,-,6.00,"30,56",17.Nov.2020,"30,61",17.Nov.2020,"3.443,21",Y,Index Fonds,30.Sep.2020,"2,79","20,35","0,84","7,33","-2,67",31.Oct.2020,"-8,63","2,39","-0,68","2,69","6,29","4,19",31.Oct.2020,"-12,45","4,13","-2,04","14,19","84,09","145,13","3,60","0,00",-,"0,00",-,-,"11,10","3,25","12,27","-10,29","27,90",31.Dec.2019,iShares Europe ex-UK Index Fund (IE) Flex Acc EUR,"15,46","1,66","0,00","0,00","0,00","65.944,84",AA,"7,96","145,53",-
-,iShares Europe ex-UK Index Fund (IE) Inst Acc EUR,IE00B1W56P62,"833.761.099,95",Ja,Irland,-,"0,18",07.Sep.2007,Aktien,Large/Mid Caps,Europa,EUR,Industrieländer,-,Weitere,Inst,"50.779.076,96",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,MSCI Europe ex UK Net Return Index,"16,42",17.Nov.2020,-,-,-,6.00,"16,41",17.Nov.2020,"16,44",17.Nov.2020,"3.443,21",Y,Index Fonds,30.Sep.2020,"2,61","20,19","0,70","7,15","-2,73",31.Oct.2020,"-8,69","2,27","-0,81","2,55","6,11","2,86",31.Oct.2020,"-12,49","4,05","-2,40","13,43","80,99","44,96","3,60","0,00",-,"0,00",-,-,"10,86","3,11","12,09","-10,40","27,68",31.Dec.2019,iShares Europe ex-UK Index Fund (IE) Inst Acc EUR,"15,46","1,66","0,00","0,00","0,00","65.944,84",AA,"7,96","145,53",-
-,iShares Europe Index Fund (IE) Inst Dist USD,IE00B4L8GV30,"70.858,23",Ja,Irland,-,"0,24",31.Aug.2011,Aktien,Large Caps,Europa,USD,Industrieländer,-,Weitere,Inst,"4.634,72",-,-,BlackRock Asset Management Ireland Limited,ausschüttend,MSCI Europe Index (Net Total Return USD),"15,29",17.Nov.2020,-,-,-,5.00,"15,28",17.Nov.2020,"15,33",17.Nov.2020,"113,79",Y,Index Fonds,-,-,-,-,-,-,31.May.2020,"-13,61","-9,35","-4,75","-1,75",-,"2,87",31.May.2020,"-24,27","-21,31","-13,59","-8,43",-,"28,10","3,60","0,00",-,"0,00",-,-,"-2,95","0,02","25,97","-14,64","24,08",31.Dec.2019,iShares Europe Index Fund (IE) Inst Dist USD,"15,23","1,57","-0,01","0,00","0,00","64.003,29",AA,"7,90","135,66",-
-,iShares GiltTrak Index Fund (IE) Inst Acc GBP,IE0007410420,"56.574.489,36",Ja,Irland,-,"0,13",30.Sep.2000,Anleihen,Staatsanleihen,Europa,GBP,Industrieländer,-,Grossbritannien,Inst,"1.996.846,30",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,FTSE Actuaries UK Conventional Gilts All Stocks Index,"28,33",17.Nov.2020,-,-,-,4.00,"28,33",17.Nov.2020,"28,33",17.Nov.2020,"217,72",Y,Index Fonds,30.Sep.2020,"12,54","-3,65","0,54","13,28","3,28",31.Oct.2020,"4,63","7,37","5,26","5,11","5,09","5,23",31.Oct.2020,"6,91","-2,33","16,62","28,29","64,36","178,46","0,64","16,36",-,"12,55",-,-,"0,48","10,02","1,76","0,49","6,80",31.Dec.2019,iShares GiltTrak Index Fund (IE) Inst Acc GBP,"0,00","0,00","0,39","16,36","12,55","0,00",A,"6,00",-,-
-,iShares Japan Index Fund (IE) Inst Acc USD,IE00B1W56M32,"439.036.005,72",Ja,Irland,-,"0,17",25.May.2009,Aktien,Large/Mid Caps,Asien-Pazifik,USD,Industrieländer,-,Japan,Inst,"22.568.892,09",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,MSCI Developed - Japan Net Dividends (USD),"19,45",17.Nov.2020,-,-,-,6.00,"19,45",17.Nov.2020,"19,46",17.Nov.2020,"1.901,44",Y,Index Fonds,30.Sep.2020,"11,97","14,04","10,09","-4,87","6,77",31.Oct.2020,"0,17","4,51","1,71","5,01","5,68","5,19",31.Oct.2020,"-2,41","11,30","5,23","27,67","73,77","75,35",-,"0,00",-,"0,00",-,-,"9,41","2,29","23,88","-12,97","19,47",31.Dec.2019,iShares Japan Index Fund (IE) Inst Acc USD,"16,38","1,30","0,00","0,00","0,00","43.174,48",A,"6,62","84,42",-
-,iShares North America Index Fund (IE) Inst Acc USD,IE00B1W56K18,"669.380.112,71",Ja,Irland,-,"0,17",21.Aug.2007,Aktien,Large Caps,Nordamerika,USD,Industrieländer,-,Vereinigte Staaten von Amerika,Inst,"23.266.159,33",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,MSCI Daily Net TR North America USD,"28,77",17.Nov.2020,-,-,-,6.00,"28,76",17.Nov.2020,"28,78",17.Nov.2020,"3.628,02",Y,Index Fonds,30.Sep.2020,"14,21","17,46","16,22","3,37","15,28",31.Oct.2020,"9,99","11,69","9,70","10,86","11,56","7,53",31.Oct.2020,"3,19","14,32","32,01","67,48","198,62","160,43","1,64","0,00",-,"0,00",-,-,"-1,02","11,41","20,77","-5,85","30,58",31.Dec.2019,iShares North America Index Fund (IE) Inst Acc USD,"22,08","3,43","0,00","0,00","0,00","408.903,86",A,"6,45","160,09",-
-,iShares North America Index Fund (IE) Inst Dist USD,IE00B1W56L25,"395.643.470,82",Ja,Irland,-,"0,17",13.May.2009,Aktien,Large Caps,Nordamerika,USD,Industrieländer,-,Vereinigte Staaten von Amerika,Inst,"10.029.231,62",-,-,BlackRock Asset Management Ireland Limited,ausschüttend,MSCI Daily Net TR North America USD,"39,45",17.Nov.2020,-,-,-,6.00,"39,44",17.Nov.2020,"39,46",17.Nov.2020,"3.628,02",Y,Index Fonds,30.Sep.2020,"14,22","17,47","16,20","3,38","15,28",31.Oct.2020,"9,99","11,70","9,70","10,87","11,56","13,13",31.Oct.2020,"3,19","14,31","32,02","67,52","198,57","311,26","1,64","0,00",-,"0,00",-,-,"-1,02","11,43","20,77","-5,85","30,60",31.Dec.2019,iShares North America Index Fund (IE) Inst Dist USD,"22,08","3,43","0,00","0,00","0,00","408.903,86",A,"6,45","160,09",-
-,iShares Pacific Index Fund (IE) Inst Acc USD,IE00B1W56S93,"259.176.870,84",Ja,Irland,-,"0,18",25.Sep.2009,Aktien,Large/Mid Caps,Asien-Pazifik,USD,Industrieländer,-,Weitere,Inst,"13.763.375,09",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,MSCI Developed Pacific Ex Japan in USD Net TR Index,"18,83",17.Nov.2020,-,-,-,6.00,"18,82",17.Nov.2020,"18,84",17.Nov.2020,"874,09",Y,Index Fonds,30.Sep.2020,"19,93","14,40","4,15","2,93","-6,21",31.Oct.2020,"-9,43","2,60","-0,45","5,07","3,30","4,61",31.Oct.2020,"-11,78","9,08","-1,36","28,05","38,32","64,93",-,"0,00",-,"0,00",-,-,"-8,68","7,71","25,86","-10,43","18,29",31.Dec.2019,iShares Pacific Index Fund (IE) Inst Acc USD,"15,21","1,50","0,00","0,00","0,00","42.676,93",A,"6,56","252,15",-
-,iShares Pacific Index Fund (IE) Inst Dist USD,IE00B1W56T01,"87.006.385,46",Ja,Irland,-,"0,18",13.May.2009,Aktien,Large/Mid Caps,Asien-Pazifik,USD,Industrieländer,-,Weitere,Inst,"5.221.006,23",-,-,BlackRock Asset Management Ireland Limited,ausschüttend,MSCI Developed Pacific Ex Japan in USD Net TR Index,"16,66",17.Nov.2020,-,-,-,6.00,"16,65",17.Nov.2020,"16,68",17.Nov.2020,"874,09",Y,Index Fonds,30.Sep.2020,"19,93","14,40","4,15","2,91","-6,26",31.Oct.2020,"-9,47","2,57","-0,48","5,05","3,28","7,20",31.Oct.2020,"-11,81","9,06","-1,43","27,95","38,06","121,81",-,"0,00",-,"0,00",-,-,"-8,66","7,71","25,86","-10,44","18,27",31.Dec.2019,iShares Pacific Index Fund (IE) Inst Dist USD,"15,21","1,50","0,00","0,00","0,00","42.676,93",A,"6,56","252,15",-
-,iShares UK Credit Bond Index Fund (IE) Inst Dist GBP,IE00B2RKYS27,"56.432.809,37",Ja,Irland,-,"0,15",12.Sep.2008,Anleihen,Unternehmensanleihen,Europa,GBP,Industrieländer,-,Grossbritannien,Inst,"4.346.886,67",-,-,BlackRock Asset Management Ireland Limited,ausschüttend,iBoxx Sterling Non-Gilts Index,"12,98",17.Nov.2020,-,-,-,4.00,"12,93",17.Nov.2020,"13,03",17.Nov.2020,"345,10",Y,Index Fonds,30.Sep.2020,"14,00","-0,15","0,16","10,20","3,97",31.Oct.2020,"4,46","6,82","4,56","5,56","5,80","6,52",31.Oct.2020,"4,74","3,46","14,31","31,05","75,76","115,19","2,41","10,82",-,"7,96",-,-,"0,47","10,86","4,31","-1,56","9,32",31.Dec.2019,iShares UK Credit Bond Index Fund (IE) Inst Dist GBP,"8,89","0,78","1,46","10,82","7,92","0,00",A,"6,85","113,28",-
-,iShares UK Credit Bond Index Fund (IE) Inst Acc GBP,IE00B1W4R618,"41.373.233,42",Ja,Irland,-,"0,15",03.Aug.2007,Anleihen,Unternehmensanleihen,Europa,GBP,Industrieländer,-,Grossbritannien,Inst,"1.892.444,33",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,iBoxx Sterling Non-Gilts Index,"21,86",17.Nov.2020,-,-,-,4.00,"21,77",17.Nov.2020,"21,95",17.Nov.2020,"345,10",Y,Index Fonds,30.Sep.2020,"13,96","-0,16","0,16","10,18","3,98",31.Oct.2020,"4,47","6,81","4,56","5,55","5,78","6,04",31.Oct.2020,"4,75","3,47","14,30","30,99","75,46","117,31","2,41","10,82",-,"7,96",-,-,"0,45","10,83","4,31","-1,56","9,30",31.Dec.2019,iShares UK Credit Bond Index Fund (IE) Inst Acc GBP,"8,89","0,78","1,46","10,82","7,92","0,00",A,"6,85","113,28",-
-,iShares UK Index Fund (IE) Inst Acc GBP,IE00B1W56R86,"79.533.326,16",Ja,Irland,-,"0,17",28.Sep.2007,Aktien,Large/Mid Caps,Europa,GBP,Industrieländer,-,Grossbritannien,Inst,"5.197.441,44",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,MSCI Developed - United Kingdom Net Returns,"15,30",17.Nov.2020,-,-,-,6.00,"15,30",17.Nov.2020,"15,38",17.Nov.2020,"560,13",Y,Index Fonds,30.Sep.2020,"18,29","11,05","5,67","2,63","-19,75",31.Oct.2020,"-22,21","-9,35","-6,67","0,62","3,16","2,31",31.Oct.2020,"-25,47","-5,30","-18,70","3,14","36,50","34,80","0,91","0,00",-,"0,00",-,-,"-2,22","18,89","11,77","-8,89","16,15",31.Dec.2019,iShares UK Index Fund (IE) Inst Acc GBP,"14,38","1,29","0,01","0,00","0,00","43.403,06",AA,"7,74","102,68",-
-,iShares Ultra High Quality Euro Government Bond Index Fund (IE) Inst Acc EUR,IE00B4XCK338,"33.585.119,41",Ja,Irland,-,"0,13",01.Jul.2011,Anleihen,Staatsanleihen,Europa,EUR,Industrieländer,-,Weitere,Inst,"2.524.347,60",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,Markit iBoxx Eurozone AAA Index,"13,30",17.Nov.2020,-,-,-,3.00,"13,30",17.Nov.2020,"13,31",17.Nov.2020,"284,25",Y,Index Fonds,30.Sep.2020,"6,29","-3,89","0,75","8,16","-0,64",31.Oct.2020,"1,76","3,82","2,79","2,12",-,"3,12",31.Oct.2020,"3,58","0,42","8,59","11,04",-,"33,21","1,00","9,77",-,"8,63",-,-,"0,99","4,00","-1,43","2,28","3,09",31.Dec.2019,iShares Ultra High Quality Euro Government Bond Index Fund (IE) Inst Acc EUR,"0,00","0,00","-0,64","9,77","8,63","0,00",AA,"7,26",-,-
-,iShares US Corporate Bond Index Fund (IE) Inst Acc USD,IE00B1W4R501,"237.858.265,81",Ja,Irland,-,"0,15",27.Nov.2007,Anleihen,Unternehmensanleihen,Nordamerika,USD,Industrieländer,-,Vereinigte Staaten von Amerika,Inst,"12.315.263,68",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,FTSE Euro Dollar Bond Index,"19,31",17.Nov.2020,-,-,-,4.00,"19,25",17.Nov.2020,"19,38",17.Nov.2020,"1.740,03",Y,Index Fonds,30.Sep.2020,"7,83","1,66","-1,00","12,12","7,63",31.Oct.2020,"6,86","10,46","5,94","5,38","4,50","5,10",31.Oct.2020,"6,30","4,88","18,89","29,98","55,35","90,30","3,19","10,76",-,"7,64",-,-,"-0,39","5,18","5,55","-1,71","13,20",31.Dec.2019,iShares US Corporate Bond Index Fund (IE) Inst Acc USD,"12,06","1,20","1,95","10,76","7,38","0,00",BBB,"5,47","274,87",-
-,iShares US Index Fund (IE) Flex Acc USD,IE0001200389,"887.552.495,65",Ja,Irland,-,"0,01",31.Dec.1998,Aktien,Large Caps,Nordamerika,USD,Industrieländer,-,Vereinigte Staaten von Amerika,Class,"10.604.515,62",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,S&P 500,"83,70",17.Nov.2020,-,-,-,6.00,"83,67",17.Nov.2020,"83,72",17.Nov.2020,"2.078,27",Y,Index Fonds,30.Sep.2020,"15,70","18,24","17,36","4,14","15,17",31.Oct.2020,"9,85","12,04","10,23","11,53","12,77","6,28",31.Oct.2020,"2,98","13,37","33,95","72,59","232,70","278,02","1,64","0,12",-,"0,12",-,-,"1,16","12,22","21,19","-5,00","31,53",31.Dec.2019,iShares US Index Fund (IE) Flex Acc USD,"0,00","0,00","0,00","0,12","0,12","0,00",AA,"7,39","92,80",-
-,iShares US Index Fund (IE) Inst Acc USD,IE00B1W56J03,"911.316.186,76",Ja,Irland,-,"0,17",28.Sep.2007,Aktien,Large Caps,Nordamerika,USD,Industrieländer,-,Vereinigte Staaten von Amerika,Inst,"30.787.021,64",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,S&P 500,"29,60",17.Nov.2020,-,-,-,6.00,"29,59",17.Nov.2020,"29,61",17.Nov.2020,"2.078,27",Y,Index Fonds,30.Sep.2020,"15,48","18,06","17,19","3,99","14,99",31.Oct.2020,"9,68","11,87","10,07","11,36","12,57","7,92",31.Oct.2020,"2,85","13,28","33,35","71,24","226,78","171,25","1,64","0,12",-,"0,12",-,-,"0,96","12,03","21,01","-5,14","31,33",31.Dec.2019,iShares US Index Fund (IE) Inst Acc USD,"0,00","0,00","0,00","0,12","0,12","0,00",AA,"7,39","92,80",-
-,iShares World ex-Euro Government Bond Index Fund (IE) Inst Acc USD,IE00B1W4R493,"94.240.105,73",Ja,Irland,-,"0,15",01.Jun.2007,Anleihen,Staatsanleihen,Global,USD,Industrieländer,-,Weitere,Inst,"5.818.130,70",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,FTSE World Government Bond Index (ex-EMU Government Bonds),"16,20",17.Nov.2020,-,-,-,4.00,"16,19",17.Nov.2020,"16,21",17.Nov.2020,"442,29",Y,Index Fonds,30.Sep.2020,"10,54","-4,78","-1,56","9,61","5,50",31.Oct.2020,"4,82","7,53","4,48","3,61","1,23","3,62",31.Oct.2020,"5,56","0,30","14,04","19,41","13,03","61,09","1,63","10,47",-,"8,77",-,-,"-1,16","2,13","4,36","0,63","6,22",31.Dec.2019,iShares World ex-Euro Government Bond Index Fund (IE) Inst Acc USD,"0,00","0,00","0,51","10,47","8,77","0,00",A,"6,42",-,-
-,iShares Developed Real Estate Index Fund (IE) Inst Dist EUR,IE00B7F1RC73,"460.698.762,06",Ja,Irland,-,"0,22",08.Aug.2012,Immobilien,Immobilien-Aktien,Global,EUR,Industrieländer,-,Weitere,Inst,"36.963.035,88",-,-,BlackRock Asset Management Ireland Limited,ausschüttend,FTSE EPRA Nareit Developed Net Index EUR,"12,46",17.Nov.2020,-,-,-,6.00,"12,46",17.Nov.2020,"12,47",17.Nov.2020,"2.405,07",Y,Index Fonds,30.Sep.2020,"13,89","-4,31","5,46","20,33","-23,98",31.Oct.2020,"-26,11","-5,02","-2,40","-0,83",-,"3,84",31.Oct.2020,"-25,13","-4,56","-7,04","-4,09",-,"36,35","1,64","0,00",-,"0,00",-,-,"10,30","7,10","-2,98","-0,98","24,23",31.Dec.2019,iShares Developed Real Estate Index Fund (IE) Inst Dist EUR,"15,46","1,15","0,01","0,00","0,00","15.072,66",BBB,"4,48","96,64",-
-,iShares Developed World Index Fund (IE) Inst Dist USD,IE00B62NX656,"34.681.938,37",Ja,Irland,-,"0,17",12.Oct.2012,Aktien,Alle Kapitalisierungen,Global,USD,Industrieländer,-,Weitere,Inst,"1.759.489,17",-,-,BlackRock Asset Management Ireland Limited,ausschüttend,MSCI World Net TR Index,"19,71",17.Nov.2020,-,-,-,6.00,"19,71",17.Nov.2020,"19,73",17.Nov.2020,"12.607,48",Y,Index Fonds,30.Sep.2020,"11,26","18,32","11,18","1,82","10,30",31.Oct.2020,"4,26","8,38","5,90","8,11",-,"9,27",31.Oct.2020,"-1,49","12,51","18,77","47,68",-,"104,10","1,74","0,00",-,"0,00",-,-,"-0,98","7,52","22,49","-8,73","27,61",31.Dec.2019,iShares Developed World Index Fund (IE) Inst Dist USD,"19,59","2,44","0,02","0,00","0,00","303.807,38",A,"6,75","152,15",-
-,iShares Europe Equity Index A2 EUR,LU0836512706,-,Ja,Luxemburg,-,"0,56",23.Oct.2012,Aktien,Large/Mid Caps,Europa,EUR,Industrieländer,-,Weitere,KLASSE A2,-,-,-,BlackRock (Luxembourg) S.A.,thesaurierend,MSCI EUROPE Net ( custom 4pm LUX ),"171,08",18.Nov.2020,-,-,-,6.00,-,18.Nov.2020,-,18.Nov.2020,"211,56",Y,Index Fonds,30.Sep.2020,"0,99","16,82","1,75","5,32","-7,60",31.Oct.2020,"-14,26","-1,93","-3,11","0,31",-,"5,04",31.Oct.2020,"-17,98","-0,77","-9,05","1,57",-,"48,32","3,58","0,00",-,"0,00",-,-,"8,79","1,73","10,66","-10,71","25,62",31.Dec.2019,iShares Europe Equity Index A2 EUR,"15,22","1,57","0,01","0,00","0,00","64.062,89",AA,"7,93","134,68",-
-,iShares Global Government Bond Index Fund (LU) Class A2 USD,LU0836513852,-,Ja,Luxemburg,-,"0,53",23.Oct.2012,Anleihen,Staatsanleihen,Global,USD,Industrieländer,-,Weitere,KLASSE A2,-,-,-,BlackRock (Luxembourg) S.A.,thesaurierend,FTSE World Government Bond Index,"108,47",17.Nov.2020,-,-,-,4.00,-,17.Nov.2020,-,17.Nov.2020,"706,72",Y,Index Fonds,30.Sep.2020,"9,19","-3,54","-1,99","7,63","6,09",31.Oct.2020,"5,69","7,49","4,00","3,39",-,"0,89",31.Oct.2020,"6,67","3,76","12,49","18,13",-,"7,36","1,63","10,46",-,"8,80",-,-,"-4,34","0,90","6,85","-1,34","5,37",31.Dec.2019,iShares Global Government Bond Index Fund (LU) Class A2 USD,"0,00","0,00","0,29","10,46","8,80","0,00",A,"6,27",-,-
-,iShares Global Government Bond Index Fund (LU) Class N2 USD,LU0839971503,-,Ja,Luxemburg,-,"0,20",23.Oct.2012,Anleihen,Staatsanleihen,Global,USD,Industrieländer,-,Weitere,KLASSE N2,-,-,-,BlackRock (Luxembourg) S.A.,thesaurierend,FTSE World Government Bond Index,"111,58",17.Nov.2020,-,-,-,4.00,-,17.Nov.2020,-,17.Nov.2020,"706,72",Y,Index Fonds,30.Sep.2020,"9,49","-3,21","-1,59","8,03","6,44",31.Oct.2020,"6,04","7,87","4,38","3,75",-,"1,24",31.Oct.2020,"6,96","3,92","13,74","20,20",-,"10,42","1,63","10,46",-,"8,80",-,-,"-4,03","1,21","7,19","-0,92","5,74",31.Dec.2019,iShares Global Government Bond Index Fund (LU) Class N2 USD,"0,00","0,00","0,29","10,46","8,80","0,00",A,"6,27",-,-
-,iShares Japan Equity Index Fund (LU) Class F2 USD,LU0836515634,-,Ja,Luxemburg,-,"0,30",23.Oct.2012,Aktien,Large/Mid Caps,Asien-Pazifik,USD,Industrieländer,-,Japan,KLASSE F2,-,-,-,BlackRock (Luxembourg) S.A.,thesaurierend,MSCI JAPAN Net ( custom 4pm LUX ),"193,66",18.Nov.2020,-,-,-,6.00,-,18.Nov.2020,-,18.Nov.2020,"116,69",Y,Index Fonds,30.Sep.2020,"11,95","13,59","9,74","-5,55","6,14",31.Oct.2020,"-0,18","4,09","1,11","4,52",-,"7,24",31.Oct.2020,"-2,76","10,73","3,35","24,71",-,"75,15",-,"0,00",-,"0,00",-,-,"8,17","2,32","23,69","-13,90","19,18",31.Dec.2019,iShares Japan Equity Index Fund (LU) Class F2 USD,"16,39","1,30","-0,01","0,00","0,00","43.220,68",A,"6,68","86,63",-
-,iShares World Equity Index Fund (LU) Class A2 USD,LU0836512615,-,Ja,Luxemburg,-,"0,53",23.Oct.2012,Aktien,Large Caps,Global,USD,Industrieländer,-,Weitere,KLASSE A2,-,-,-,BlackRock (Luxembourg) S.A.,thesaurierend,MSCI WORLD Net ( custom 4pm LUX ),"220,30",18.Nov.2020,-,-,-,6.00,-,18.Nov.2020,-,18.Nov.2020,"1.590,31",Y,Index Fonds,30.Sep.2020,"10,81","17,80","11,01","1,33","10,16",31.Oct.2020,"3,49","7,57","5,32","7,50",-,"8,75",31.Oct.2020,"-2,11","11,43","16,84","43,56",-,"95,89","1,64","0,00",-,"0,00",-,-,"-1,71","6,80","22,09","-9,49","27,00",31.Dec.2019,iShares World Equity Index Fund (LU) Class A2 USD,"19,64","2,43","0,02","0,00","0,00","305.926,57",A,"6,79","154,68",-
-,iShares Euro Government Bd Index A2 EUR,LU0836513266,-,Ja,Luxemburg,-,"0,54",23.Oct.2012,Anleihen,Staatsanleihen,Europa,EUR,Industrieländer,-,Weitere,KLASSE A2,-,-,-,BlackRock (Luxembourg) S.A.,thesaurierend,FTSE EMU Government Bond Index,"135,77",17.Nov.2020,-,-,-,3.00,-,17.Nov.2020,-,17.Nov.2020,"219,21",Y,Index Fonds,30.Sep.2020,"6,42","-4,03","-0,54","11,21","0,22",31.Oct.2020,"2,21","6,02","3,44","2,51",-,"3,85",31.Oct.2020,"4,31","3,78","10,67","13,17",-,"35,43","1,71","10,52",-,"8,85",-,-,"1,05","2,81","-0,40","0,43","6,26",31.Dec.2019,iShares Euro Government Bd Index A2 EUR,"0,00","0,00","-0,19","10,52","8,85","0,00",A,"5,96",-,-
-,iShares Europe Equity Index F2 EUR,LU0836515550,-,Ja,Luxemburg,-,"0,26",23.Oct.2012,Aktien,Large/Mid Caps,Europa,EUR,Industrieländer,-,Weitere,KLASSE F2,-,-,-,BlackRock (Luxembourg) S.A.,thesaurierend,MSCI EUROPE Net ( custom 4pm LUX ),"175,41",18.Nov.2020,-,-,-,6.00,-,18.Nov.2020,-,18.Nov.2020,"211,56",Y,Index Fonds,30.Sep.2020,"1,29","17,17","2,05","5,64","-7,31",31.Oct.2020,"-14,00","-1,63","-2,82","0,61",-,"5,36",31.Oct.2020,"-17,76","-0,62","-8,23","3,10",-,"52,05","3,58","0,00",-,"0,00",-,-,"9,12","2,03","10,99","-10,45","26,00",31.Dec.2019,iShares Europe Equity Index F2 EUR,"15,22","1,57","0,01","0,00","0,00","64.062,89",AA,"7,93","134,68",-
-,iShares Europe Equity Index N2 EUR,LU0836514157,-,Ja,Luxemburg,-,"0,23",23.Oct.2012,Aktien,Large/Mid Caps,Europa,EUR,Industrieländer,-,Weitere,KLASSE N2,-,-,-,BlackRock (Luxembourg) S.A.,thesaurierend,MSCI EUROPE Net ( custom 4pm LUX ),"175,84",18.Nov.2020,-,-,-,6.00,-,18.Nov.2020,-,18.Nov.2020,"211,56",Y,Index Fonds,30.Sep.2020,"1,33","17,20","2,09","5,67","-7,28",31.Oct.2020,"-13,98","-1,61","-2,79","0,64",-,"5,40",31.Oct.2020,"-17,74","-0,60","-8,15","3,26",-,"52,42","3,58","0,00",-,"0,00",-,-,"9,15","2,05","11,02","-10,42","26,04",31.Dec.2019,iShares Europe Equity Index N2 EUR,"15,22","1,57","0,01","0,00","0,00","64.062,89",AA,"7,93","134,68",-
-,iShares Global Government Bond Index Fund (LU) Class F2 USD,LU0836517176,-,Ja,Luxemburg,-,"0,23",23.Oct.2012,Anleihen,Staatsanleihen,Global,USD,Industrieländer,-,Weitere,KLASSE F2,-,-,-,BlackRock (Luxembourg) S.A.,thesaurierend,FTSE World Government Bond Index,"111,17",17.Nov.2020,-,-,-,4.00,-,17.Nov.2020,-,17.Nov.2020,"706,72",Y,Index Fonds,30.Sep.2020,"9,52","-3,25","-1,69","7,95","6,40",31.Oct.2020,"6,01","7,81","4,31","3,70",-,"1,20",31.Oct.2020,"6,92","3,91","13,50","19,90",-,"10,02","1,63","10,46",-,"8,80",-,-,"-4,06","1,21","7,16","-1,03","5,67",31.Dec.2019,iShares Global Government Bond Index Fund (LU) Class F2 USD,"0,00","0,00","0,29","10,46","8,80","0,00",A,"6,27",-,-
